CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
WGR101,O,German I,ドイツ語 I,"5/TU,6/TU,7/TU,5/TH,6/TH,7/TH",H-354,Face to Face,"ENDO, Kosuke/BARTSCH, Josua",4,
WGR101,O,German I,ドイツ語 I,"5/W,6/W,7/W,5/F,6/F,7/F",H-352,Face to Face,"ENDO, Kosuke/BACKHAUS, Peter",4,
WGR201,O,Advanced German I,上級ドイツ語 I,"5/W,6/W,7/W",H-358,Face to Face,"BARTSCH, Josua",3,
WIT101,O,Italian I,イタリア語 I,"5/W,6/W,7/W,5/F,6/F,7/F",H-354,Face to Face,"NAKAYA, Shinko/BUCCI, Concettina",4,
WKR101,O,Korean I,韓国語 I,"*4/M,*5/M,*4/TH,*5/TH",H-352,Face to Face,"HANDO, Chizuko/OHE, Hye-Gyeong",4,
WKR101,O,Korean I,韓国語 I,"1/TU,2/TU,3/TU,1/TH,2/TH,3/TH",H-103,Face to Face,"KIM, HYUNSHIN/HANDO, Chizuko",4,
WKR101,O,Korean I,韓国語 I,"5/TU,6/TU,7/TU,5/TH,6/TH,7/TH",H-355,Face to Face,"KIM, Myeong-Hee",4,
WKR101,O,Korean I,韓国語 I,"*4/W,*5/W,*4/F,*5/F",H-355,Face to Face,"KIM, Sung Eun/OHE, Hye-Gyeong",4,
WKR201,O,Advanced Korean I,上級韓国語 I,"5/W,6/W,7/W",H-108,Face to Face,"OHE, Hye-Gyeong",3,
WRU101,O,Russian I,ロシア語 I,"5/M,6/M,7/M,5/TH,6/TH,7/TH",H-356,Face to Face,"FUKASAWA, Yoko/GOTO, Ksenia",4,
WSP101,O,Spanish I,スペイン語 I,"1/TU,2/TU,3/TU,1/TH,2/TH,3/TH",H-356,Face to Face,"NASU, Madori/ALCANIZ BUCETA, Vicente",4,
WSP101,O,Spanish I,スペイン語 I,"*4/M,*5/M,*4/TH,*5/TH",H-357,Face to Face,"ROQUE DE HISHIYAMA, Adiene Susej/NASU, Madori",4,
WSP101,O,Spanish I,スペイン語 I,"*4/W,*5/W,*4/F,*5/F",H-356,Face to Face,"CUBILLOS QUEZADA, Francisca Andrea/VEGA GONZALEZ, Arturo",4,
WSP101,O,Spanish I,スペイン語 I,"5/M,6/M,5/TU,6/TU,5/TH,6/TH",H-358,Face to Face,"CUBILLOS QUEZADA, Francisca Andrea/ROQUE DE HISHIYAMA, Adiene Susej/ALCANIZ BUCETA, Vicente",4,
WSP201,O,Advanced Spanish I,上級スペイン語 I,"5/M,6/M,7/M",H-273,Face to Face,"GARCIA BERNAL, Carmen Belen",3,
ELG101,E,Overseas Academic Skills,アカデミック・スキル 海外研修,,(For Freshman SEA Program students),Face to Face,STAFF,3,
ELG102,E,Overseas Research Writing,論文作成 海外研修,,(For Sophomore SEA Program students),Face to Face,STAFF,3,
ELG201,E,Advanced English Studies: TOEFL,上級総合英語：TOEFL,"1/M,1/W",H-157,Face to Face,"MOROOKA, Mari",2,
ELG202,E,Advanced English Studies: IELTS,上級総合英語：IELTS,"1/W,1/F",H-253,Face to Face,"ECKHAUS, Rebekka",2,
ELG202,E,Advanced English Studies: IELTS,上級総合英語：IELTS,"3/M,3/W",H-202,Face to Face,"MACKENZIE, Graham",2,
ELG301,E,The Foundations of Tutoring Academic Writing (English),アカデミック・ライティングのためのチュータリングの基礎（英語）,"1/M,1/W",H-202,Face to Face,"GARNER, Joe",2,
TCP210,J,Teaching Methods in Natural Sciences (Rika) III,理科教育法 III,"5/TU,6/TU",H-357,Face to Face,"KAMATA, Masahiro",2,
TCP218,J,"Teaching Methods in Social Studies (Shakai-Ka),Geography and History (Chirirekishi-Ka) I",社会科・地理歴史科教育法 I,"5/TU,6/TU",H-124,Face to Face,"JIN, Kumiko",2,
TCP231,J,Guidance to Teaching Practice,教育実習事前事後指導,,SPRING RECESS and After Teaching Practice,Face to Face,"SATO, Chizu/OKAWA, Hiroshi",1,
TCP232,J,Teaching Practice I,教育実習 I,,,Face to Face,"SATO, Chizu/OKAWA, Hiroshi",2,
TCP233,J,Teaching Practice II,教育実習 II,,,Face to Face,"SATO, Chizu/OKAWA, Hiroshi",4,
TCP245,J,Chishi(Regional Geography),地誌,"2/TH,3/TH",H-176,Face to Face,"YAMAMOTO, Ryuta",2,
TCP253,J,Introduction to World History,世界史概論,"5/TH,6/TH",H-157,Face to Face,"ISHIWATA, Takumi",2,
